"","Country","Factor","Value","type"
"111","Angola","Life Expectancy",0.269,"0.269"
"112","Angola","Freedom",0,"0"
"113","Angola","Government Corruption",0.061,"0.061"
"114","Angola","Generosity",0.079,"0.079"
"115","Argentina","GDP per Capita",1.05351,"1.05351"
"116","Argentina","Family",1.24823,"1.24823"
"117","Argentina","Life Expectancy",0.78723,"0.78723"
"118","Argentina","Freedom",0.44974,"0.44974"
"119","Argentina","Government Corruption",0.08484,"0.08484"
"120","Argentina","Generosity",0.11451,"0.11451"
"121","Argentina","GDP per Capita",1.18529546260834,"1.18529546260834"
"122","Argentina","Family",1.44045114517212,"1.44045114517212"
"123","Argentina","Life Expectancy",0.695137083530426,"0.695137083530426"
"124","Argentina","Freedom",0.494519203901291,"0.494519203901291"
"125","Argentina","Government Corruption",0.059739887714386,"0.059739887714386"
"126","Argentina","Generosity",0.109457060694695,"0.109457060694695"
"127","Argentina","GDP per Capita",1.073,"1.073"
"128","Argentina","Family",1.468,"1.468"
"129","Argentina","Life Expectancy",0.744,"0.744"
"130","Argentina","Freedom",0.57,"0.57"
"131","Argentina","Government Corruption",0.054,"0.054"
"132","Argentina","Generosity",0.062,"0.062"
"133","Argentina","GDP per Capita",1.092,"1.092"
"134","Argentina","Family",1.432,"1.432"
"135","Argentina","Life Expectancy",0.881,"0.881"
"136","Argentina","Freedom",0.471,"0.471"
"137","Argentina","Government Corruption",0.05,"0.05"
"138","Argentina","Generosity",0.066,"0.066"
"139","Argentina","GDP per Capita",1.15137,"1.15137"
"140","Argentina","Family",1.06612,"1.06612"
"141","Argentina","Life Expectancy",0.69711,"0.69711"
"142","Argentina","Freedom",0.42284,"0.42284"
"143","Argentina","Government Corruption",0.07296,"0.07296"
"144","Argentina","Generosity",0.10989,"0.10989"
"145","Armenia","GDP per Capita",0.86086,"0.86086"
"146","Armenia","Family",0.62477,"0.62477"
"147","Armenia","Life Expectancy",0.64083,"0.64083"
"148","Armenia","Freedom",0.14037,"0.14037"
"149","Armenia","Government Corruption",0.03616,"0.03616"
"150","Armenia","Generosity",0.07793,"0.07793"
"151","Armenia","GDP per Capita",0.816,"0.816"
"152","Armenia","Family",0.99,"0.99"
"153","Armenia","Life Expectancy",0.666,"0.666"
"154","Armenia","Freedom",0.26,"0.26"
"155","Armenia","Government Corruption",0.028,"0.028"
"156","Armenia","Generosity",0.077,"0.077"
"157","Armenia","GDP per Capita",0.900596737861633,"0.900596737861633"
"158","Armenia","Family",1.00748372077942,"1.00748372077942"
"159","Armenia","Life Expectancy",0.637524425983429,"0.637524425983429"
"160","Armenia","Freedom",0.198303267359734,"0.198303267359734"
"161","Armenia","Government Corruption",0.0266744215041399,"0.0266744215041399"
"162","Armenia","Generosity",0.0834880918264389,"0.0834880918264389"
"163","Armenia","GDP per Capita",0.85,"0.85"
"164","Armenia","Family",1.055,"1.055"
"165","Armenia","Life Expectancy",0.815,"0.815"
"166","Armenia","Freedom",0.283,"0.283"
"167","Armenia","Government Corruption",0.064,"0.064"
"168","Armenia","Generosity",0.095,"0.095"
"169","Armenia","GDP per Capita",0.76821,"0.76821"
"170","Armenia","Family",0.77711,"0.77711"
"171","Armenia","Life Expectancy",0.7299,"0.7299"
"172","Armenia","Freedom",0.19847,"0.19847"
"173","Armenia","Government Corruption",0.039,"0.039"
"174","Armenia","Generosity",0.07855,"0.07855"
"175","Australia","GDP per Capita",1.372,"1.372"
"176","Australia","Family",1.548,"1.548"
"177","Australia","Life Expectancy",1.036,"1.036"
"178","Australia","Freedom",0.557,"0.557"
"179","Australia","Government Corruption",0.29,"0.29"
"180","Australia","Generosity",0.332,"0.332"
"181","Australia","GDP per Capita",1.34,"1.34"
"182","Australia","Family",1.573,"1.573"
"183","Australia","Life Expectancy",0.91,"0.91"
"184","Australia","Freedom",0.647,"0.647"
"185","Australia","Government Corruption",0.302,"0.302"
"186","Australia","Generosity",0.361,"0.361"
"187","Australia","GDP per Capita",1.44443,"1.44443"
"188","Australia","Family",1.10476,"1.10476"
"189","Australia","Life Expectancy",0.8512,"0.8512"
"190","Australia","Freedom",0.56837,"0.56837"
"191","Australia","Government Corruption",0.32331,"0.32331"
"192","Australia","Generosity",0.47407,"0.47407"
"193","Australia","GDP per Capita",1.33358,"1.33358"
"194","Australia","Family",1.30923,"1.30923"
"195","Australia","Life Expectancy",0.93156,"0.93156"
"196","Australia","Freedom",0.65124,"0.65124"
"197","Australia","Government Corruption",0.35637,"0.35637"
"198","Australia","Generosity",0.43562,"0.43562"
"199","Australia","GDP per Capita",1.484414935112,"1.484414935112"
"200","Australia","Family",1.51004195213318,"1.51004195213318"
"201","Australia","Life Expectancy",0.84388679265976,"0.84388679265976"
"202","Australia","Freedom",0.601607382297516,"0.601607382297516"
"203","Australia","Government Corruption",0.301183730363846,"0.301183730363846"
"204","Australia","Generosity",0.477699249982834,"0.477699249982834"
"205","Austria","GDP per Capita",1.45038,"1.45038"
"206","Austria","Family",1.08383,"1.08383"
"207","Austria","Life Expectancy",0.80565,"0.80565"
"208","Austria","Freedom",0.54355,"0.54355"
"209","Austria","Government Corruption",0.21348,"0.21348"
"210","Austria","Generosity",0.32865,"0.32865"
"211","Austria","GDP per Capita",1.33723,"1.33723"
"212","Austria","Family",1.29704,"1.29704"
"213","Austria","Life Expectancy",0.89042,"0.89042"
"214","Austria","Freedom",0.62433,"0.62433"
"215","Austria","Government Corruption",0.18676,"0.18676"
"216","Austria","Generosity",0.33088,"0.33088"
"217","Austria","GDP per Capita",1.376,"1.376"
"218","Austria","Family",1.475,"1.475"
"219","Austria","Life Expectancy",1.016,"1.016"
"220","Austria","Freedom",0.532,"0.532"
"221","Austria","Government Corruption",0.226,"0.226"
"222","Austria","Generosity",0.244,"0.244"
"223","Austria","GDP per Capita",1.48709726333618,"1.48709726333618"
"224","Austria","Family",1.4599449634552,"1.4599449634552"
"225","Austria","Life Expectancy",0.815328419208527,"0.815328419208527"
"226","Austria","Freedom",0.567766189575195,"0.567766189575195"
"227","Austria","Government Corruption",0.221060365438461,"0.221060365438461"
"228","Austria","Generosity",0.316472321748734,"0.316472321748734"
"229","Austria","GDP per Capita",1.341,"1.341"
"230","Austria","Family",1.504,"1.504"
"231","Austria","Life Expectancy",0.891,"0.891"
"232","Austria","Freedom",0.617,"0.617"
"233","Austria","Government Corruption",0.224,"0.224"
"234","Austria","Generosity",0.242,"0.242"
"235","Azerbaijan","GDP per Capita",1.024,"1.024"
"236","Azerbaijan","Family",1.161,"1.161"
"237","Azerbaijan","Life Expectancy",0.603,"0.603"
"238","Azerbaijan","Freedom",0.43,"0.43"
"239","Azerbaijan","Government Corruption",0.176,"0.176"
"240","Azerbaijan","Generosity",0.031,"0.031"
"241","Azerbaijan","GDP per Capita",1.043,"1.043"
"242","Azerbaijan","Family",1.147,"1.147"
"243","Azerbaijan","Life Expectancy",0.769,"0.769"
"244","Azerbaijan","Freedom",0.351,"0.351"
"245","Azerbaijan","Government Corruption",0.182,"0.182"
"246","Azerbaijan","Generosity",0.035,"0.035"
"247","Azerbaijan","GDP per Capita",1.02389,"1.02389"
"248","Azerbaijan","Family",0.93793,"0.93793"
"249","Azerbaijan","Life Expectancy",0.64045,"0.64045"
"250","Azerbaijan","Freedom",0.3703,"0.3703"
"251","Azerbaijan","Government Corruption",0.16065,"0.16065"
"252","Azerbaijan","Generosity",0.07799,"0.07799"
"253","Azerbaijan","GDP per Capita",1.12373,"1.12373"
"254","Azerbaijan","Family",0.76042,"0.76042"
"255","Azerbaijan","Life Expectancy",0.54504,"0.54504"
"256","Azerbaijan","Freedom",0.35327,"0.35327"
"257","Azerbaijan","Government Corruption",0.17914,"0.17914"
"258","Azerbaijan","Generosity",0.0564,"0.0564"
"259","Azerbaijan","GDP per Capita",1.15360176563263,"1.15360176563263"
"260","Azerbaijan","Family",1.15240025520325,"1.15240025520325"
"261","Azerbaijan","Life Expectancy",0.540775775909424,"0.540775775909424"
"262","Azerbaijan","Freedom",0.398155838251114,"0.398155838251114"
"263","Azerbaijan","Government Corruption",0.180987507104874,"0.180987507104874"
"264","Azerbaijan","Generosity",0.0452693402767181,"0.0452693402767181"
"265","Bahrain","GDP per Capita",1.48841226100922,"1.48841226100922"
"266","Bahrain","Family",1.32311046123505,"1.32311046123505"
"267","Bahrain","Life Expectancy",0.653133034706116,"0.653133034706116"
"268","Bahrain","Freedom",0.536746919155121,"0.536746919155121"
"269","Bahrain","Government Corruption",0.257042169570923,"0.257042169570923"
"270","Bahrain","Generosity",0.172668486833572,"0.172668486833572"
"271","Bahrain","GDP per Capita",1.362,"1.362"
"272","Bahrain","Family",1.368,"1.368"
"273","Bahrain","Life Expectancy",0.871,"0.871"
"274","Bahrain","Freedom",0.536,"0.536"
"275","Bahrain","Government Corruption",0.11,"0.11"
"276","Bahrain","Generosity",0.255,"0.255"
"277","Bahrain","GDP per Capita",1.338,"1.338"
"278","Bahrain","Family",1.366,"1.366"
"279","Bahrain","Life Expectancy",0.698,"0.698"
"280","Bahrain","Freedom",0.594,"0.594"
"281","Bahrain","Government Corruption",0.123,"0.123"
"282","Bahrain","Generosity",0.243,"0.243"
"283","Bahrain","GDP per Capita",1.32376,"1.32376"
"284","Bahrain","Family",1.21624,"1.21624"
"285","Bahrain","Life Expectancy",0.74716,"0.74716"
"286","Bahrain","Freedom",0.45492,"0.45492"
"287","Bahrain","Government Corruption",0.306,"0.306"
"288","Bahrain","Generosity",0.17362,"0.17362"
"289","Bahrain","GDP per Capita",1.44024,"1.44024"
"290","Bahrain","Family",0.94397,"0.94397"
"291","Bahrain","Life Expectancy",0.65696,"0.65696"
"292","Bahrain","Freedom",0.47375,"0.47375"
"293","Bahrain","Government Corruption",0.25772,"0.25772"
"294","Bahrain","Generosity",0.17147,"0.17147"
"295","Bangladesh","GDP per Capita",0.532,"0.532"
"296","Bangladesh","Family",0.85,"0.85"
"297","Bangladesh","Life Expectancy",0.579,"0.579"
"298","Bangladesh","Freedom",0.58,"0.58"
"299","Bangladesh","Government Corruption",0.144,"0.144"
"300","Bangladesh","Generosity",0.153,"0.153"
"301","Bangladesh","GDP per Capita",0.54177,"0.54177"
"302","Bangladesh","Family",0.24749,"0.24749"
"303","Bangladesh","Life Expectancy",0.52989,"0.52989"
"304","Bangladesh","Freedom",0.39778,"0.39778"
"305","Bangladesh","Government Corruption",0.12583,"0.12583"
"306","Bangladesh","Generosity",0.19132,"0.19132"
"307","Bangladesh","GDP per Capita",0.586682975292206,"0.586682975292206"
"308","Bangladesh","Family",0.735131740570068,"0.735131740570068"
"309","Bangladesh","Life Expectancy",0.533241033554077,"0.533241033554077"
"310","Bangladesh","Freedom",0.478356659412384,"0.478356659412384"
"311","Bangladesh","Government Corruption",0.123717859387398,"0.123717859387398"
"312","Bangladesh","Generosity",0.172255352139473,"0.172255352139473"
"313","Bangladesh","GDP per Capita",0.39753,"0.39753"
"314","Bangladesh","Family",0.43106,"0.43106"
"315","Bangladesh","Life Expectancy",0.60164,"0.60164"
"316","Bangladesh","Freedom",0.4082,"0.4082"
"317","Bangladesh","Government Corruption",0.12569,"0.12569"
"318","Bangladesh","Generosity",0.21222,"0.21222"
"319","Bangladesh","GDP per Capita",0.562,"0.562"
"320","Bangladesh","Family",0.928,"0.928"
"321","Bangladesh","Life Expectancy",0.723,"0.723"
"322","Bangladesh","Freedom",0.527,"0.527"
"323","Bangladesh","Government Corruption",0.143,"0.143"
"324","Bangladesh","Generosity",0.166,"0.166"
"325","Belarus","GDP per Capita",1.15655755996704,"1.15655755996704"
"326","Belarus","Family",1.44494521617889,"1.44494521617889"
"327","Belarus","Life Expectancy",0.637714266777039,"0.637714266777039"
"328","Belarus","Freedom",0.295400261878967,"0.295400261878967"
"329","Belarus","Government Corruption",0.156313821673393,"0.156313821673393"
"330","Belarus","Generosity",0.15513750910759,"0.15513750910759"
"331","Belarus","GDP per Capita",1.039,"1.039"
"332","Belarus","Family",1.498,"1.498"
"333","Belarus","Life Expectancy",0.7,"0.7"
"334","Belarus","Freedom",0.307,"0.307"
"335","Belarus","Government Corruption",0.154,"0.154"
"336","Belarus","Generosity",0.101,"0.101"
"337","Belarus","GDP per Capita",1.03192,"1.03192"
"338","Belarus","Family",1.23289,"1.23289"
"339","Belarus","Life Expectancy",0.73608,"0.73608"
"340","Belarus","Freedom",0.37938,"0.37938"
"341","Belarus","Government Corruption",0.1909,"0.1909"
"342","Belarus","Generosity",0.11046,"0.11046"
"343","Belarus","GDP per Capita",1.13062,"1.13062"
"344","Belarus","Family",1.04993,"1.04993"
"345","Belarus","Life Expectancy",0.63104,"0.63104"
"346","Belarus","Freedom",0.29091,"0.29091"
"347","Belarus","Government Corruption",0.17457,"0.17457"
"348","Belarus","Generosity",0.13942,"0.13942"
"349","Belarus","GDP per Capita",1.067,"1.067"
"350","Belarus","Family",1.465,"1.465"
"351","Belarus","Life Expectancy",0.789,"0.789"
"352","Belarus","Freedom",0.235,"0.235"
"353","Belarus","Government Corruption",0.142,"0.142"
"354","Belarus","Generosity",0.094,"0.094"
"355","Belgium","GDP per Capita",1.30782,"1.30782"
"356","Belgium","Family",1.28566,"1.28566"
"357","Belgium","Life Expectancy",0.89667,"0.89667"
"358","Belgium","Freedom",0.5845,"0.5845"
"359","Belgium","Government Corruption",0.2254,"0.2254"
"360","Belgium","Generosity",0.2225,"0.2225"
"361","Belgium","GDP per Capita",1.324,"1.324"
"362","Belgium","Family",1.483,"1.483"
"363","Belgium","Life Expectancy",0.894,"0.894"
"364","Belgium","Freedom",0.583,"0.583"
"365","Belgium","Government Corruption",0.24,"0.24"
"366","Belgium","Generosity",0.188,"0.188"
"367","Belgium","GDP per Capita",1.356,"1.356"
"368","Belgium","Family",1.504,"1.504"
"369","Belgium","Life Expectancy",0.986,"0.986"
"370","Belgium","Freedom",0.473,"0.473"
"371","Belgium","Government Corruption",0.21,"0.21"
"372","Belgium","Generosity",0.16,"0.16"
"373","Belgium","GDP per Capita",1.46378076076508,"1.46378076076508"
"374","Belgium","Family",1.46231269836426,"1.46231269836426"
"375","Belgium","Life Expectancy",0.818091869354248,"0.818091869354248"
"376","Belgium","Freedom",0.539770722389221,"0.539770722389221"
"377","Belgium","Government Corruption",0.251343131065369,"0.251343131065369"
"378","Belgium","Generosity",0.231503337621689,"0.231503337621689"
"379","Belgium","GDP per Capita",1.42539,"1.42539"
"380","Belgium","Family",1.05249,"1.05249"
"381","Belgium","Life Expectancy",0.81959,"0.81959"
"382","Belgium","Freedom",0.51354,"0.51354"
"383","Belgium","Government Corruption",0.26248,"0.26248"
"384","Belgium","Generosity",0.2424,"0.2424"
"385","Benin","GDP per Capita",0.39499,"0.39499"
"386","Benin","Family",0.10419,"0.10419"
"387","Benin","Life Expectancy",0.21028,"0.21028"
"388","Benin","Freedom",0.39747,"0.39747"
"389","Benin","Government Corruption",0.06681,"0.06681"
"390","Benin","Generosity",0.2018,"0.2018"
"391","Benin","GDP per Capita",0.28665,"0.28665"
"392","Benin","Family",0.35386,"0.35386"
"393","Benin","Life Expectancy",0.3191,"0.3191"
"394","Benin","Freedom",0.4845,"0.4845"
"395","Benin","Government Corruption",0.0801,"0.0801"
"396","Benin","Generosity",0.1826,"0.1826"
"397","Benin","GDP per Capita",0.393,"0.393"
"398","Benin","Family",0.437,"0.437"
"399","Benin","Life Expectancy",0.397,"0.397"
"400","Benin","Freedom",0.349,"0.349"
"401","Benin","Government Corruption",0.082,"0.082"
"402","Benin","Generosity",0.175,"0.175"
"403","Benin","GDP per Capita",0.378,"0.378"
"404","Benin","Family",0.372,"0.372"
"405","Benin","Life Expectancy",0.24,"0.24"
"406","Benin","Freedom",0.44,"0.44"
"407","Benin","Government Corruption",0.067,"0.067"
"408","Benin","Generosity",0.163,"0.163"
"409","Benin","GDP per Capita",0.431085407733917,"0.431085407733917"
"410","Benin","Family",0.435299843549728,"0.435299843549728"
"411","Benin","Life Expectancy",0.209930211305618,"0.209930211305618"
"412","Benin","Freedom",0.425962775945663,"0.425962775945663"
"413","Benin","Government Corruption",0.0609290152788162,"0.0609290152788162"
"414","Benin","Generosity",0.207948461174965,"0.207948461174965"
"415","Bhutan","GDP per Capita",0.885416388511658,"0.885416388511658"
"416","Bhutan","Family",1.34012651443481,"1.34012651443481"
"417","Bhutan","Life Expectancy",0.495879292488098,"0.495879292488098"
"418","Bhutan","Freedom",0.501537680625916,"0.501537680625916"
"419","Bhutan","Government Corruption",0.173380389809608,"0.173380389809608"
"420","Bhutan","Generosity",0.474054545164108,"0.474054545164108"
"421","Bhutan","GDP per Capita",0.796,"0.796"
"422","Bhutan","Family",1.335,"1.335"
"423","Bhutan","Life Expectancy",0.527,"0.527"
"424","Bhutan","Freedom",0.541,"0.541"
"425","Bhutan","Government Corruption",0.171,"0.171"
"426","Bhutan","Generosity",0.364,"0.364"
"427","Bhutan","GDP per Capita",0.8527,"0.8527"
"428","Bhutan","Family",0.90836,"0.90836"
"429","Bhutan","Life Expectancy",0.49759,"0.49759"
"430","Bhutan","Freedom",0.46074,"0.46074"
"431","Bhutan","Government Corruption",0.1616,"0.1616"
"432","Bhutan","Generosity",0.48546,"0.48546"
"433","Bhutan","GDP per Capita",0.77042,"0.77042"
"434","Bhutan","Family",1.10395,"1.10395"
"435","Bhutan","Life Expectancy",0.57407,"0.57407"
"436","Bhutan","Freedom",0.53206,"0.53206"
"437","Bhutan","Government Corruption",0.15445,"0.15445"
"438","Bhutan","Generosity",0.47998,"0.47998"
"439","Bhutan","GDP per Capita",0.813,"0.813"
"440","Bhutan","Family",1.321,"1.321"
"441","Bhutan","Life Expectancy",0.604,"0.604"
"442","Bhutan","Freedom",0.457,"0.457"
"443","Bhutan","Government Corruption",0.167,"0.167"
"444","Bhutan","Generosity",0.37,"0.37"
"445","Bolivia","GDP per Capita",0.751,"0.751"
"446","Bolivia","Family",1.223,"1.223"
"447","Bolivia","Life Expectancy",0.508,"0.508"
"448","Bolivia","Freedom",0.606,"0.606"
"449","Bolivia","Government Corruption",0.054,"0.054"
"450","Bolivia","Generosity",0.141,"0.141"
"451","Bolivia","GDP per Capita",0.833756566047668,"0.833756566047668"
"452","Bolivia","Family",1.22761905193329,"1.22761905193329"
"453","Bolivia","Life Expectancy",0.473630249500275,"0.473630249500275"
"454","Bolivia","Freedom",0.558732926845551,"0.558732926845551"
"455","Bolivia","Government Corruption",0.0604777261614799,"0.0604777261614799"
"456","Bolivia","Generosity",0.22556072473526,"0.22556072473526"
"457","Bolivia","GDP per Capita",0.68133,"0.68133"
"458","Bolivia","Family",0.97841,"0.97841"
"459","Bolivia","Life Expectancy",0.5392,"0.5392"
"460","Bolivia","Freedom",0.57414,"0.57414"
"461","Bolivia","Government Corruption",0.088,"0.088"
"462","Bolivia","Generosity",0.20536,"0.20536"
"463","Bolivia","GDP per Capita",0.79422,"0.79422"
"464","Bolivia","Family",0.83779,"0.83779"
"465","Bolivia","Life Expectancy",0.4697,"0.4697"
"466","Bolivia","Freedom",0.50961,"0.50961"
"467","Bolivia","Government Corruption",0.07746,"0.07746"
"468","Bolivia","Generosity",0.21698,"0.21698"
"469","Bolivia","GDP per Capita",0.776,"0.776"
"470","Bolivia","Family",1.209,"1.209"
"471","Bolivia","Life Expectancy",0.706,"0.706"
"472","Bolivia","Freedom",0.511,"0.511"
"473","Bolivia","Government Corruption",0.064,"0.064"
"474","Bolivia","Generosity",0.137,"0.137"
"475","Bosnia and Herzegovina","GDP per Capita",0.982409417629242,"0.982409417629242"
"476","Bosnia and Herzegovina","Family",1.0693359375,"1.0693359375"
"477","Bosnia and Herzegovina","Life Expectancy",0.705186307430267,"0.705186307430267"
"478","Bosnia and Herzegovina","Freedom",0.204403176903725,"0.204403176903725"
"479","Bosnia and Herzegovina","Government Corruption",0,"0"
"480","Bosnia and Herzegovina","Generosity",0.328867495059967,"0.328867495059967"
"481","Bosnia and Herzegovina","GDP per Capita",0.93383,"0.93383"
"482","Bosnia and Herzegovina","Family",0.64367,"0.64367"
"483","Bosnia and Herzegovina","Life Expectancy",0.70766,"0.70766"
"484","Bosnia and Herzegovina","Freedom",0.09511,"0.09511"
"485","Bosnia and Herzegovina","Government Corruption",0,"0"
"486","Bosnia and Herzegovina","Generosity",0.29889,"0.29889"
"487","Bosnia and Herzegovina","GDP per Capita",0.915,"0.915"
"488","Bosnia and Herzegovina","Family",1.078,"1.078"
"489","Bosnia and Herzegovina","Life Expectancy",0.758,"0.758"
"490","Bosnia and Herzegovina","Freedom",0.28,"0.28"
"491","Bosnia and Herzegovina","Government Corruption",0,"0"
"492","Bosnia and Herzegovina","Generosity",0.216,"0.216"
"493","Bosnia and Herzegovina","GDP per Capita",0.945,"0.945"
"494","Bosnia and Herzegovina","Family",1.212,"1.212"
"495","Bosnia and Herzegovina","Life Expectancy",0.845,"0.845"
"496","Bosnia and Herzegovina","Freedom",0.212,"0.212"
"497","Bosnia and Herzegovina","Government Corruption",0.006,"0.006"
"498","Bosnia and Herzegovina","Generosity",0.263,"0.263"
"499","Bosnia and Herzegovina","GDP per Capita",0.83223,"0.83223"
"500","Bosnia and Herzegovina","Family",0.91916,"0.91916"
"501","Bosnia and Herzegovina","Life Expectancy",0.79081,"0.79081"
"502","Bosnia and Herzegovina","Freedom",0.09245,"0.09245"
"503","Bosnia and Herzegovina","Government Corruption",0.00227,"0.00227"
"504","Bosnia and Herzegovina","Generosity",0.24808,"0.24808"
"505","Botswana","GDP per Capita",1.09426,"1.09426"
"506","Botswana","Family",0.89186,"0.89186"
"507","Botswana","Life Expectancy",0.34752,"0.34752"
"508","Botswana","Freedom",0.44089,"0.44089"
"509","Botswana","Government Corruption",0.10769,"0.10769"
"510","Botswana","Generosity",0.12425,"0.12425"
"511","Botswana","GDP per Capita",1.017,"1.017"
"512","Botswana","Family",1.174,"1.174"
"513","Botswana","Life Expectancy",0.417,"0.417"
"514","Botswana","Freedom",0.557,"0.557"
"515","Botswana","Government Corruption",0.092,"0.092"
